Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,4.7339,4.7339,4.7339,4.733852,4.7339,4.733876,4.7339,4.7339,4.734216,4.7339,4.971358,5.2352
1991,5.2352,5.2352,5.2352,5.276719,5.325723,5.366721,5.369309,5.372491,5.38693,5.39169,5.399422,5.423152
1992,5.461819,5.477631,5.487127,5.509755,5.518174,5.4893,5.45637,5.4417,5.504755,5.5486,5.613414,5.810628
1993,5.779612,5.787433,5.745461,5.720177,5.739193,5.750368,5.7756,5.790623,5.801538,5.8013,5.80858,5.821009
1994,8.721905,8.724869,8.724135,8.725079,8.685909,8.683586,8.660505,8.607226,8.558143,8.54917,8.53702,8.503343
1995,8.460805,8.455268,8.448291,8.442115,8.337,8.320595,8.320745,8.325274,8.33744,8.335348,8.333443,8.335015
1996,8.3384,8.33375,8.349543,8.35145,8.347864,8.34236,8.340932,8.337923,8.33411,8.329904,8.329395,8.329014
1997,8.325967,8.322742,8.325752,8.325659,8.322852,8.322371,8.316182,8.318681,8.31707,8.313486,8.310894,8.3099
1998,8.309445,8.307174,8.307596,8.3058,8.308395,8.31,8.31,8.31,8.305453,8.2778,8.277821,8.27795
1999,8.277718,8.278457,8.278095,8.277879,8.278512,8.278157,8.277751,8.278422,8.277978,8.278471,8.275926,8.277687
2000,8.278341,8.27825,8.279906,8.279269,8.278698,8.276523,8.278215,8.278783,8.278191,8.27831,8.27973,8.279851
2001,8.279713,8.279118,8.279947,8.27937,8.279537,8.278629,8.279216,8.279067,8.278305,8.279226,8.276948,8.27688
2002,8.276655,8.276685,8.277015,8.277218,8.277074,8.276942,8.276855,8.276723,8.27599,8.277164,8.277116,8.277101
2003,8.277345,8.278111,8.2773,8.277193,8.276935,8.277025,8.277315,8.277069,8.277146,8.276772,8.276889,8.277027
2004,8.276966,8.277118,8.277055,8.276933,8.277084,8.27667,8.276723,8.276822,8.240906,8.318109,8.276501,8.237089
2005,8.276501,8.276501,8.276501,8.276501,8.276501,8.276501,8.227208,8.101104,8.091967,8.089357,8.083247,8.073841
2006,8.065878,8.053495,8.037503,8.013472,8.014644,8.00983,7.989321,7.975655,7.936593,7.903303,7.864865,7.823381
2007,7.791313,7.752734,7.738871,7.726306,7.682912,7.634071,7.57509,7.57428,7.524485,7.503548,7.42375,7.37602
2008,7.249022,7.169757,7.077886,6.998476,6.97373,6.902831,6.836708,6.852848,6.836846,6.83591,6.829043,6.855309
2009,6.835868,6.83598,6.836777,6.831958,6.82407,6.83382,6.832476,6.832581,6.82862,6.826845,6.827647,6.828029
2010,6.827097,6.829264,6.826558,6.826047,6.827277,6.820827,6.776216,6.786952,6.748917,6.670287,6.65246,6.652348
2011,6.597297,6.577043,6.566572,6.526517,6.495716,6.476267,6.455281,6.405545,6.389371,6.371935,6.356067,6.344497
2012,6.315044,6.300476,6.311163,6.30347,6.316919,6.365433,6.373606,6.361577,6.324183,6.274832,6.240017,6.23548
2013,6.22404,6.233512,6.216287,6.187123,6.142379,6.138663,6.138664,6.122006,6.12169,6.113055,6.114147,6.082261
2014,6.074065,6.075162,6.169652,6.22348,6.240068,6.234197,6.135827,6.157152,6.139091,6.127435,6.12519,6.189887
2015,6.217386,6.250589,6.24161,6.201223,6.20334,6.206197,6.208335,6.326845,6.368933,6.350316,6.368297,6.451177
2016,6.566271,6.550959,6.505371,6.47718,6.5264,6.5876,6.676932,6.649181,6.676762,6.724935,6.84486,6.924758
